Leeftijd_Uzelf,Leeftijd_Huisgenoten,Geslacht_Huisgenoten,Educatie_Huisgenoten,Tech_Huisgenoten,Home_Huisgenoten,Controle_Nom
5,5,Vrouw,2,1,4,Somewhat low
3,3,Mixed,3,3,4,Very high
3,3,Man,3,3,5,Somewhat high
3,3,Vrouw,3,3,4,High
5,2,Vrouw,3,3,3,Neutral
3,3,Mixed,3,3,3,High
5,2,Mixed,3,2,3,Erg Low
3,3,Man,3,4,3,High
3,3,Vrouw,3,3,4,Somewhat high
3,3,Man,3,4,5,Neutral
4,5,Man,2,2,2,Neutral
6,5,Vrouw,2,1,5,Somewhat high
3,3,Mixed,3,2,5,Very high
3,4,Vrouw,3,1,2,Somewhat high
3,3,Mixed,3,3,4,Somewhat high
2,5,Man,2,3,2,Very high
3,3,Vrouw,2,2,3,High
3,3,Vrouw,3,3,4,Neutral
3,3,Vrouw,3,3,4,High
5,5,Vrouw,2,1,3,Somewhat high
6,6,Vrouw,3,2,5,High
3,3,Mixed,3,2,4,Low
5,5,Man,2,3,3,Somewhat low
3,3,Mixed,2,2,3,Neutral
6,6,Vrouw,1,1,5,Neutral
3,3,Man,3,3,4,Somewhat high
3,3,Man,3,1,5,Low
3,3,Vrouw,3,4,4,Low
3,3,Mixed,3,3,5,Neutral
3,3,Mixed,3,3,5,High
3,3,Mixed,3,3,4,Very high
3,3,Man,3,2,3,Neutral
3,3,Man,3,4,3,Neutral
3,3,Man,3,3,5,Neutral
3,3,Vrouw,3,3,4,Somewhat high
3,3,Man,3,3,3,High
3,3,Vrouw,3,3,3,Somewhat low
