Leeftijd_Huisgenoten,Geslacht_Huisgenoten,Educatie_Huisgenoten,Tech_Huisgenoten,Personalisatie_Nom
5,Vrouw,2,1,Low
3,Mixed,3,3,Very high
3,Man,3,3,High
3,Vrouw,3,3,Very high
2,Vrouw,3,3,Neutral
3,Mixed,3,3,High
2,Mixed,3,2,Somewhat high
3,Man,3,4,Very high
3,Vrouw,3,3,Somewhat low
3,Man,3,4,Very low
5,Man,2,2,Low
5,Vrouw,2,1,High
3,Mixed,3,2,Very high
4,Vrouw,3,1,Neutral
3,Mixed,3,3,Somewhat high
5,Man,2,3,Very high
3,Vrouw,2,2,High
3,Vrouw,3,3,High
3,Vrouw,3,3,High
5,Vrouw,2,1,Neutral
6,Vrouw,3,2,High
3,Mixed,3,2,Very high
5,Man,2,3,Somewhat high
3,Mixed,2,2,Somewhat high
6,Vrouw,1,1,Low
3,Man,3,3,High
3,Man,3,1,Somewhat high
3,Vrouw,3,4,Neutral
3,Mixed,3,3,High
3,Mixed,3,3,Very high
3,Mixed,3,3,Very high
3,Man,3,2,High
3,Man,3,4,High
3,Man,3,3,High
3,Vrouw,3,3,Very high
3,Man,3,3,High
3,Vrouw,3,3,High
