Duurzaamheid_Num,Beveiliging_Num,Gemak_Num,Privacy_Num,Personalisatie_Num,Controle_Num,Security_Vacated
5,3,3,2,2,3,Nee
7,7,7,3,7,7,Ja
2,4,5,5,5,5,Nee
5,5,5,4,7,5,Ja
5,5,5,2,4,4,Nee
7,5,5,4,5,5,Nee
5,5,4,4,5,1,Nee
5,7,5,5,7,5,Nee
5,3,3,5,3,5,Nee
7,3,5,3,1,4,Ja
4,5,5,5,2,4,Ja
5,5,5,5,5,5,Ja
7,4,5,1,7,7,Nee
4,5,5,4,4,5,Nee
5,5,5,2,5,5,Ja
7,5,7,4,7,7,Ja
5,5,5,5,5,5,Nee
5,5,5,2,5,4,Ja
7,3,4,4,5,5,Nee
5,2,4,5,4,5,Ja
5,5,5,5,5,5,Ja
4,7,7,1,7,2,Ja
7,5,4,4,5,3,Ja
7,5,5,2,5,4,Ja
5,2,5,2,2,4,Ja
5,5,5,5,5,5,Ja
7,5,4,4,5,2,Nee
5,2,4,2,4,2,Nee
5,4,5,5,5,4,Nee
5,5,7,3,7,5,Ja
5,5,7,5,7,7,Ja
5,4,5,5,5,4,Nee
5,5,7,5,5,4,Ja
5,4,2,1,5,4,Nee
7,5,7,5,7,5,Ja
5,5,7,3,5,5,Nee
3,7,5,4,5,3,Ja
